planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1023
goal,goal,blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1111
goal,goal,bottleneck,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,1.0000,1.0000,0.0000,,'-0.0986
goal,goal,circular_crossing,3,0.0000,0.3333,0.0000,0.0000,0.0000,1.3333,1.0000,1.0000,0.1856,,'-0.1639
goal,goal,cross_trap,9,0.0000,0.2222,0.0000,0.0000,0.0000,9.6667,1.0000,1.0000,0.0781,,'-0.2418
goal,goal,crossing,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.1170
goal,goal,crowd_navigation,3,0.0000,0.3333,0.0000,0.0000,0.0000,7.6667,1.0000,1.0000,0.0822,,'-0.2773
goal,goal,doorway,9,0.0000,1.0000,0.0000,0.0000,0.0000,8.7778,1.0000,1.0000,0.0172,,'-0.3030
goal,goal,down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1005
goal,goal,entering_elevator,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.0000,0.9067,1.0000,0.0000,,0.0409
goal,goal,entering_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,exiting_elevator,3,0.0000,1.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0000,,'-0.1928
goal,goal,exiting_room,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0100,,'-0.1463
goal,goal,frontal_approach,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,group_crossing,9,0.0000,0.2222,0.0000,0.0000,0.0000,7.4444,1.0000,1.0000,0.0219,,'-0.2115
goal,goal,head_on_corridor,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0221,,'-0.1446
goal,goal,intersection_no_gesture,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_proceed,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_wait,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,join_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,0.0118,,'-0.1733
goal,goal,leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1023
goal,goal,leave_group,3,0.0000,1.0000,0.0000,0.0000,0.0000,5.3333,1.0000,1.0000,0.0000,,'-0.1732
goal,goal,merging,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0506,,'-0.1433
goal,goal,narrow_doorway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,narrow_hallway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-0.0999
goal,goal,overtaking,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0375,,'-0.3680
goal,goal,parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0667,,'-0.1723
goal,goal,pedestrian_obstruction,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0633,,'-0.1138
goal,goal,perpendicular_traffic,3,0.0000,0.3333,0.0000,0.0000,0.0000,4.6667,1.0000,1.0000,0.0097,,'-0.1732
goal,goal,robot_crowding,3,0.0000,1.0000,0.0000,0.0000,0.0000,7.6667,1.0000,1.0000,0.2034,,'-0.3136
goal,goal,robot_overtaking,3,0.0000,1.0000,0.0000,0.0000,0.0000,9.3333,1.0000,1.0000,0.0726,,'-0.2511
goal,goal,t_intersection,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0425,,'-0.1316
orca,orca,accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0987
orca,orca,bottleneck,12,0.0000,0.0000,0.0000,0.0000,0.0000,4.4167,1.0000,1.0000,0.0000,,'-0.1911
orca,orca,circular_crossing,3,0.6667,0.3333,0.0000,0.0000,0.0000,1.0000,0.7667,1.0000,0.1975,,'-0.0403
orca,orca,cross_trap,9,0.0000,0.1111,0.0000,0.0000,0.0000,4.6667,1.0000,1.0000,0.0786,,'-0.2031
orca,orca,crossing,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.1035
orca,orca,crowd_navigation,3,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,1.0000,1.0000,0.0833,,'-0.8878
orca,orca,doorway,9,0.1111,0.1111,0.0000,0.0000,0.0000,8.8889,0.9711,1.0000,0.0088,,'-0.6458
orca,orca,down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,entering_elevator,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9300,1.0000,0.0000,,'-0.2139
orca,orca,entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7400,1.0000,0.0000,,0.1202
orca,orca,exiting_elevator,3,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,1.0000,1.0000,0.0000,,'-0.6559
orca,orca,exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8967,1.0000,0.0000,,0.0797
orca,orca,following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,frontal_approach,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,group_crossing,9,0.8889,0.0000,0.0000,0.0000,0.0000,4.7778,0.8800,1.0000,0.0194,,'-0.0103
orca,orca,head_on_corridor,6,0.0000,0.0000,0.0000,0.0000,0.0000,4.6667,1.0000,1.0000,0.0221,,'-0.1786
orca,orca,intersection_no_gesture,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.0311
orca,orca,intersection_proceed,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.0311
orca,orca,intersection_wait,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.0311
orca,orca,join_group,3,1.0000,0.0000,0.0000,0.0000,0.0000,21.3333,0.6367,1.0000,0.0798,,'-0.2552
orca,orca,leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,leave_group,3,0.6667,0.3333,0.0000,0.0000,0.0000,21.3333,0.7533,1.0000,0.0847,,'-0.2678
orca,orca,merging,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0506,,'-0.3409
orca,orca,narrow_doorway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.4283
orca,orca,narrow_hallway,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-1.0093
orca,orca,overtaking,6,0.0000,0.0000,0.0000,0.0000,0.0000,3.3333,1.0000,1.0000,0.0375,,'-0.2985
orca,orca,parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,1.0000,1.0000,0.0696,,'-0.2708
orca,orca,pedestrian_obstruction,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0800,,'-0.1192
orca,orca,perpendicular_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0081,,'-0.1470
orca,orca,robot_crowding,3,0.0000,0.3333,0.0000,0.0000,0.0000,29.0000,1.0000,1.0000,0.1807,,'-1.2204
orca,orca,robot_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,11.6667,1.0000,1.0000,0.0000,,'-0.2662
orca,orca,t_intersection,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0425,,'-0.1805
ppo,ppo,accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.3513
ppo,ppo,blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.3716
ppo,ppo,bottleneck,12,0.0000,0.2500,0.0000,0.0000,0.0000,6.4167,1.0000,0.9980,0.0000,,'-0.4511
ppo,ppo,circular_crossing,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.6667,0.7033,1.0000,0.1979,,'-0.1563
ppo,ppo,cross_trap,9,0.0000,0.1111,0.0000,0.0000,0.0000,8.7778,1.0000,0.9695,0.0782,,'-0.4511
ppo,ppo,crossing,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.3239
ppo,ppo,crowd_navigation,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0833,,'-0.3999
ppo,ppo,doorway,9,0.4444,0.4444,0.0000,0.0000,0.0000,9.6667,0.8656,1.0000,0.0115,,'-0.6940
ppo,ppo,down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.3443
ppo,ppo,entering_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4433,1.0000,0.0000,,'-0.0529
ppo,ppo,entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7400,1.0000,0.0000,,'-0.1270
ppo,ppo,exiting_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,11.3333,0.5367,1.0000,0.0000,,'-0.3105
ppo,ppo,exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8233,1.0000,0.0000,,'-0.1435
